h: n            x            y(proton  ),hh0l  n  y(photon  ),hh0dr n  y(neutron ),hh0mb n  
#  e-lower      e-upper        number    r.err      number    r.err      number    r.err 
   1.4289E+01   1.5849E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   7.0475E-05  0.1118
   1.5849E+01   1.7579E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   7.2510E-05  0.1015
   1.7579E+01   1.9498E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   4.4764E-05  0.1205
   1.9498E+01   2.1627E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   4.3862E-05  0.1126
   2.1627E+01   2.3988E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   3.9508E-05  0.1092
   2.3988E+01   2.6607E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   3.1588E-05  0.1118
   2.6607E+01   2.9512E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.7999E-05  0.1349
   2.9512E+01   3.2734E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0565E-05  0.1157
   3.2734E+01   3.6308E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.9216E-05  0.1093
   3.6308E+01   4.0272E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.1760E-05  0.1261
   4.0272E+01   4.4668E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3050E-05  0.1079
   4.4668E+01   4.9545E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   8.1323E-06  0.1223
   4.9545E+01   5.4954E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   7.2644E-06  0.1149
   5.4954E+01   6.0954E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   6.6107E-06  0.1081
   6.0954E+01   6.7608E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   4.1980E-06  0.1189
   6.7608E+01   7.4989E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   3.8911E-06  0.1093
   7.4989E+01   8.3176E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.7498E-06  0.1134
   8.3176E+01   9.2257E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0748E-06  0.1145
   9.2257E+01   1.0233E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   1.8590E-06  0.1046
   1.0233E+02   1.1350E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   9.7048E-07  0.1236
   1.1350E+02   1.2589E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   7.3390E-07  0.1217
