h: n            x            y(all     ),hh0l  n  y(proton  ),hh0dr n  y(nucleus ),hh0mb n  y(electron),hh0ug n  y(alpha   ),hh0pc n  y(pion+   ),hh0q  n  
#  e-lower      e-upper     deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err 
   1.7378E+00   2.2909E+00   7.0000E-03  0.3766   5.0000E-03  0.4461   2.0000E-03  0.7064   5.0000E-03  0.4461   1.0000E-03  0.9995   0.0000E+00  0.0000
   2.2909E+00   3.0200E+00   6.0000E-03  0.4070   4.0000E-03  0.4990   1.0000E-03  0.9995   5.0000E-03  0.4461   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.0200E+00   3.9811E+00   9.0000E-03  0.3318   5.0000E-03  0.4461   2.0000E-03  0.7064   4.0000E-03  0.4990   2.0000E-03  0.7064   0.0000E+00  0.0000
   3.9811E+00   5.2481E+00   2.0000E-03  0.7064   2.0000E-03  0.7064   1.0000E-03  0.9995   2.0000E-03  0.7064   1.0000E-03  0.9995   0.0000E+00  0.0000
   5.2481E+00   6.9183E+00   4.0000E-03  0.4990   2.0000E-03  0.7064   2.0000E-03  0.7064   2.0000E-03  0.7064   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.9183E+00   9.1201E+00   4.0000E-03  0.4990   4.0000E-03  0.4990   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.1201E+00   1.2023E+01   3.0000E-03  0.5765   4.0000E-03  0.4990   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000
   1.2023E+01   1.5849E+01   3.0000E-03  0.5765   3.0000E-03  0.5765   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5849E+01   2.0893E+01   3.0000E-03  0.5765   3.0000E-03  0.5765   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000
   2.0893E+01   2.7542E+01   1.0000E-02  0.3146   1.1000E-02  0.2998   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.7542E+01   3.6308E+01   8.0000E-03  0.3521   7.0000E-03  0.3766   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
