   1.9708E+01   2.1460E+01   4.1348E-01  0.0452   2.3542E-01  0.0623
   2.1460E+01   2.3368E+01   4.5726E-01  0.0442   2.7146E-01  0.0585
   2.3368E+01   2.5445E+01   4.7568E-01  0.0444   3.0183E-01  0.0586
   2.5445E+01   2.7708E+01   4.9557E-01  0.0436   3.2786E-01  0.0567
   2.7708E+01   3.0171E+01   4.9360E-01  0.0443   3.3490E-01  0.0575
   3.0171E+01   3.2853E+01   5.4028E-01  0.0437   4.0572E-01  0.0549
   3.2853E+01   3.5774E+01   5.8633E-01  0.0430   4.3990E-01  0.0527
   3.5774E+01   3.8954E+01   6.7965E-01  0.0403   5.2159E-01  0.0494
   3.8954E+01   4.2418E+01   6.9152E-01  0.0423   5.3808E-01  0.0509
   4.2418E+01   4.6189E+01   6.8837E-01  0.0416   6.1524E-01  0.0485
   4.6189E+01   5.0295E+01   7.5537E-01  0.0424   6.7165E-01  0.0484
   5.0295E+01   5.4767E+01   7.6920E-01  0.0419   6.5116E-01  0.0493
   5.4767E+01   5.9636E+01   9.1562E-01  0.0399   8.0660E-01  0.0455
   5.9636E+01   6.4937E+01   8.9436E-01  0.0402   7.8931E-01  0.0475
   6.4937E+01   7.0711E+01   9.4311E-01  0.0408   8.8566E-01  0.0461
   7.0711E+01   7.6997E+01   1.0459E+00  0.0398   9.8745E-01  0.0444
   7.6997E+01   8.3843E+01   1.1350E+00  0.0395   1.0214E+00  0.0445
   8.3843E+01   9.1296E+01   1.2075E+00  0.0394   1.0797E+00  0.0440
   9.1296E+01   9.9413E+01   1.2595E+00  0.0375   1.2455E+00  0.0426
   9.9413E+01   1.0825E+02   1.3451E+00  0.0378   1.2091E+00  0.0428
   1.0825E+02   1.1788E+02   1.4366E+00  0.0384   1.2533E+00  0.0439
   1.1788E+02   1.2836E+02   1.5153E+00  0.0374   1.3543E+00  0.0407
   1.2836E+02   1.3977E+02   1.5645E+00  0.0372   1.3825E+00  0.0427
   1.3977E+02   1.5219E+02   1.6040E+00  0.0373   1.4367E+00  0.0427
   1.5219E+02   1.6572E+02   1.7374E+00  0.0374   1.5049E+00  0.0415
   1.6572E+02   1.8046E+02   1.6431E+00  0.0393   1.3380E+00  0.0448
   1.8046E+02   1.9650E+02   1.6045E+00  0.0402   1.2950E+00  0.0450
   1.9650E+02   2.1397E+02   1.4768E+00  0.0418   1.2208E+00  0.0480
   2.1397E+02   2.3299E+02   1.2715E+00  0.0464   9.9671E-01  0.0527
   2.3299E+02   2.5371E+02   9.5999E-01  0.0520   8.0836E-01  0.0613
   2.5371E+02   2.7626E+02   7.3255E-01  0.0608   6.3520E-01  0.0691
