   6.9500E+01   7.0000E+01   0.0000E+00  0.0000
   7.0000E+01   7.0500E+01   0.0000E+00  0.0000
   7.0500E+01   7.1000E+01   0.0000E+00  0.0000
   7.1000E+01   7.1500E+01   0.0000E+00  0.0000
   7.1500E+01   7.2000E+01   0.0000E+00  0.0000
   7.2000E+01   7.2500E+01   0.0000E+00  0.0000
   7.2500E+01   7.3000E+01   0.0000E+00  0.0000
   7.3000E+01   7.3500E+01   0.0000E+00  0.0000
   7.3500E+01   7.4000E+01   0.0000E+00  0.0000
   7.4000E+01   7.4500E+01   0.0000E+00  0.0000
   7.4500E+01   7.5000E+01   0.0000E+00  0.0000
   7.5000E+01   7.5500E+01   0.0000E+00  0.0000
   7.5500E+01   7.6000E+01   0.0000E+00  0.0000
   7.6000E+01   7.6500E+01   0.0000E+00  0.0000
   7.6500E+01   7.7000E+01   0.0000E+00  0.0000
   7.7000E+01   7.7500E+01   0.0000E+00  0.0000
   7.7500E+01   7.8000E+01   0.0000E+00  0.0000
   7.8000E+01   7.8500E+01   0.0000E+00  0.0000
   7.8500E+01   7.9000E+01   0.0000E+00  0.0000
   7.9000E+01   7.9500E+01   0.0000E+00  0.0000
   7.9500E+01   8.0000E+01   0.0000E+00  0.0000

#   sum over    3.1416E+04   1.4267E-11  0.0010

'no. =  1,  ir =  1'
msuc: {\huge Energy deposition in xyz mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.35}
wt: s(0.7)
\vspace{-3}
  rmin  &=&   0.0000E+00 [cm]
  rmax  &=&   1.0000E+01 [cm]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.57500000000000000E+04 # Total source weight or Total source weight / maxcas
# resc3  = 1.57500000000000000E+04 # Total history number or Total batch number
# maxcas =          50 # History / Batch, only used for istdev=1
# bitrseed = 1100010110011101011000101100010011000110001000100000110101111011 # bit data of rseed
