[ T - C r o s s ]
    title = [t-cross] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg =    5            # number of crossing regions
   3.1623E+01   3.5481E+01   3.6213E-09  0.0157
   3.5481E+01   3.9811E+01   3.3856E-09  0.0153
   3.9811E+01   4.4668E+01   3.0307E-09  0.0153
   4.4668E+01   5.0119E+01   2.7875E-09  0.0150
   5.0119E+01   5.6234E+01   2.5251E-09  0.0149
   5.6234E+01   6.3096E+01   2.3589E-09  0.0145
   6.3096E+01   7.0795E+01   2.1718E-09  0.0143
   7.0795E+01   7.9433E+01   1.9838E-09  0.0141
   7.9433E+01   8.9125E+01   1.8294E-09  0.0139
   8.9125E+01   1.0000E+02   1.6775E-09  0.0137
   1.0000E+02   1.1220E+02   1.5395E-09  0.0135
   1.1220E+02   1.2589E+02   1.4191E-09  0.0133
   1.2589E+02   1.4125E+02   1.2702E-09  0.0132
   1.4125E+02   1.5849E+02   1.1729E-09  0.0130
   1.5849E+02   1.7783E+02   1.0537E-09  0.0129
   1.7783E+02   1.9953E+02   9.5771E-10  0.0127
   1.9953E+02   2.2387E+02   8.4376E-10  0.0128
   2.2387E+02   2.5119E+02   7.4387E-10  0.0129
   2.5119E+02   2.8184E+02   6.8134E-10  0.0127
   2.8184E+02   3.1623E+02   5.9440E-10  0.0128
   3.1623E+02   3.5481E+02   5.3860E-10  0.0127
   3.5481E+02   3.9811E+02   4.9192E-10  0.0126
   3.9811E+02   4.4668E+02   4.3893E-10  0.0126
   4.4668E+02   5.0119E+02   4.0089E-10  0.0124
   5.0119E+02   5.6234E+02   3.5918E-10  0.0124
   5.6234E+02   6.3096E+02   3.1642E-10  0.0124
   6.3096E+02   7.0795E+02   2.2824E-10  0.0138
   7.0795E+02   7.9433E+02   1.5487E-10  0.0159
   7.9433E+02   8.9125E+02   1.4739E-10  0.0153
   8.9125E+02   1.0000E+03   1.3200E-10  0.0153
   1.0000E+03   1.1220E+03   4.0740E-11  0.0260
   1.1220E+03   1.2589E+03   3.1936E-13  0.2774
   1.2589E+03   1.4125E+03   0.0000E+00  0.0000
   1.4125E+03   1.5849E+03   0.0000E+00  0.0000
   1.5849E+03   1.7783E+03   0.0000E+00  0.0000
   1.7783E+03   1.9953E+03   0.0000E+00  0.0000
   1.9953E+03   2.2387E+03   0.0000E+00  0.0000
   2.2387E+03   2.5119E+03   0.0000E+00  0.0000
   2.5119E+03   2.8184E+03   0.0000E+00  0.0000
   2.8184E+03   3.1623E+03   0.0000E+00  0.0000
   3.1623E+03   3.5481E+03   0.0000E+00  0.0000
   3.5481E+03   3.9811E+03   0.0000E+00  0.0000
   3.9811E+03   4.4668E+03   0.0000E+00  0.0000
   4.4668E+03   5.0119E+03   0.0000E+00  0.0000
   5.0119E+03   5.6234E+03   0.0000E+00  0.0000
   5.6234E+03   6.3096E+03   0.0000E+00  0.0000
   6.3096E+03   7.0795E+03   0.0000E+00  0.0000
   7.0795E+03   7.9433E+03   0.0000E+00  0.0000
   7.9433E+03   8.9125E+03   0.0000E+00  0.0000
   8.9125E+03   1.0000E+04   0.0000E+00  0.0000

#   sum over                 1.0220E-06  0.0018
'no. =    4   reg = 100 - 508'
msuc: {\huge [t-cross] in region mesh}
msdl: {\it plotted by \ANGEL \version}
msdr: {\it calculated by \PHITS  2.30}
wt: s(0.7)
\vspace{-3}
  region surface crossing
  area  &=&   1.4866E+04 [cm^2]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =    5   reg = 100 - 510

x: Energy [MeV]
y:   Flux  [1/cm^2/MeV/source]             
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l  n  
#  e-lower      e-upper         flux     r.err 
   1.0000E+00   1.1220E+00   7.8539E-08  0.0296
   1.1220E+00   1.2589E+00   8.4917E-08  0.0268
   1.2589E+00   1.4125E+00   8.0228E-08  0.0260
   1.4125E+00   1.5849E+00   7.6895E-08  0.0253
   1.5849E+00   1.7783E+00   7.5254E-08  0.0244
   1.7783E+00   1.9953E+00   7.1735E-08  0.0237
   1.9953E+00   2.2387E+00   6.8448E-08  0.0224
   2.2387E+00   2.5119E+00   6.0746E-08  0.0227
